key,value
Serendipity (Dragon Age),16
Ameridan (Dragon Age),16
Gatt (Dragon Age),16
Lanaya,16
Grand Cleric Elthina,16
Dragon Age: Origins Companions,16
Inquisitor Cadash,16
Fiona,16
Warden Tabris,16
Lavellan Clan,16
Marethari,16
david trevelyan,16
Kieran,16
Archdemon(s) (Dragon Age),16
Mahanon Lavellan,16
Melarue (OC),16
Crassius Servis,16
Andryanna,16
Original Female Qunari Character(s),16
Mara Lavellan,16
Original Non-Warden Surana(s),16
Serendipity,16
Noalanniel Lavellan,16
moira lavellan,16
Archdemon,16
Zeryn Brosca,16
Warden Alistair - Character,15
Rion (Dragon Age),15
Lysette (Dragon Age),15
Nelaros (Dragon Age),15
Andraste (Dragon Age),15
Pyral Harrowmont,15
Qunari Inquisitor - Character,15
Mage(s) (Dragon Age),15
Flora Harimann,15
Knight-Captain Rylen,15
Jesse McCree,15
Mhairi (Dragon Age),15
Dairren,15
Cullen Rutherford's Parents,15
Scout Jim,15
Spirit(s) of Compassion (Dragon Age),15
Celia Mac Tir,15
Original Hawke Character(s) (Dragon Age),15
Nyxale Hawke,15
Goldanna,15
Knight Captain Rylen,15
Dennet,15
Kassaran (OC),15
Gilan Cousland - Character,15
Dorian's Mother,15
Thrask,15
Female Archer Inquisitor,15
Valendrian,15
Male Rogue Mahariel,15
Solange Lavellan,15
Theramina Brosca,15
F!Tabris,15
Revka Amell,14
Rylen,14
Steve Cortez,14
Dovahkiin | Dragonborn,14
Natasha Romanov (Marvel),14
Bella (Dragon Age),14
Senior Enchanter Lydia,14
Varric (Dragon Age),14
Demetra Trevelyan,14
Mistress Woolsey,14
Lysette,14
Vanora Tiberius,14
Maretus Varovelo,14
Livia Arida,14
Red Jenny,14
Bodahn,14
everyone,14
Female Blood Mage Hawke,14
Freya Lavellan (OC),14
Original Rutherford Child(ren),14
Mages - Character,14
Adorno Ciel Otranto,14
Female Qunari Inquisitor,14
Ysabelle Dryden,14
Anton Hawke,14
Enansal Lavellan,14
Gwyn,14
Mage - Character,14
Anwen Trevelyan,14
Ashalle,14
Hissrad - Character,14
Male Caron,14
Bog Unicorn - Character,14
sethras adaar,14
Alexius (Dragon Age),14
Bann Teagan Guerrin,14
Esme Cousland,14
Ketojan,14
Qunari OC,14
Erina Tabris,14
Minaeve (Dragon Age),13
OMC,13
Sutherland (Dragon Age),13
City Elf | Elves (Dragon Age),13
Ser Thrask (Dragon Age),13
Skinner,13
Phil Coulson,13
Hanzo Shimada,13
The Forgotten Ones,13
Lady Trevelyan - Character,13
Original Male Human Character(s),13
cataline howe,13
Emeric (Dragon Age),13
Keran,13
Urdnot Wrex,13
Mihris (Dragon Age),13
Warden Cousland,13
Queen Anora,13
Artemis Hawke - Character,13
Original Theirin Character(s),13
Jarvia,13
Sabrae Clan,13
Tiberius,13
Ilyana Lavellan,13
Grey Warden,13
Eirwen Surana,13
Vaxus Trevelyan,13
Judith Trevelyan (OC),13
Rinna,13
Leverette Amell,13
Valythari Mahariel,13
Seranni,13
Dena Lavellan - Character,13
Alissa Trevelyan,13
Companion(s),13
Ellandra Trevelyan,13
Feynriel (Dragon Age),12
Knight-Commander Meredith,12
Ser Cauthrien (Dragon Age),12
The Bull's Chargers,12
Tamassran,12
Pepper Potts,12
Fade Spirit(s) (Dragon Age),12
Nonbinary Lavellan,12
Original Non-Binary Character,12
Shartan,12
Maferath,12
Renn (Dragon Age),12
male OC,12
Alistair Therin,12
Svarah Sun-Hair,12
Amethyne,12
Original Female Characters,12
Ser Bryant,12
Gascard DuPuis,12
Leandra Amell,12
Sergeant Kylon,12
Madame De Fer - Character,12
Original Non-Warden Tabris(es),12
Original Female Elvhen Character(s),12
Ciara Tabris,12
Non-Inquisitor Trevelyan,12
The Dread Wolf,12
Viddasala,12
Malika Cadash,12
Nathaniel,12
Solivitus,12
Dwarf Warden,12
Branka,12
Hespith,12
Kithshok,12
Adaia (Dragon Age),12
Ru'riro Lavellan,12
Utha,12
f!Surana,12
Arren Mahariel,12
Judah Trevelyan,11
Original Non-Human Character(s),11
Original Rutherford Child(ren) (Dragon Age),11
Keram Adaar,11
Ser Jory (Dragon Age),11
Herah Adaar,11
Kaitlyn (Dragon Age),11
Thane Krios,11
Draco Malfoy,11
Bodhan,11
Ron Weasley,11
Bilbo Baggins,11
Nick Fury,11
Rinna (Dragon Age),11
Original Arainai Character(s),11
Vergil Surana,11
Teagan,11
Fox Tabris (Warden),11
the Evanuris,11
Grey Wardens - Character,11
Leliana's Raven(s),11
Kristoff (Dragon Age),11
Warden Mahariel,11
Empress Celene,11
Solas (mentioned),11
Original Animal Character(s),11
Shokrakar (Dragon Age),11
Melarue,11
Ella (Dragon Age),11
Iona (Dragon Age),11
various OCs,11
Greg Lestrade,11
garret hawke,11
Threnn,11
Vie Mahariel,11
Natasha Romanov,11
Templar,11
Nonbinary Hawke,11
Diana Trevelyan,11
Female Andras,11
Nell Cousland,11
Cailan,11
Marquis of Serault,11
Felsi,11
Katari,11
Rowan (Dragon Age),11
Ian Lavellan,11
Elsa (Dragon Age),11
Constance Macayle,11
Karl,11
Persephone Trevelyan,11
Human Inquisitor,11
Galen Lavellan (OC),11
Mage Lavellan - Character,11
Swiftrunner,11
Master Ignacio,11
Raymond Trevelyan,11
Cat Trevelyan,11
Yvad Trevelyan,11
Kwerkus Mahariel,11
Sareyna Cousland,11
Laeti Mahariel,11
Rebel Mage(s) (Dragon Age),10
Saarebas (Characters),10
Original Fenris-Hawke Child(ren) (Dragon Age),10
Tamar (Dragon Age),10
Hall (Dragon Age),10
Ulfric Stormcloak,10
Hero of Kvatch | Champion of Cyrodiil,10
Petra (Dragon Age),10
Uldred (Dragon Age),10
Marjolaine (Dragon Age),10
Master Dennet,10
Avvar (Dragon Age),10
Adaar Family (Dragon Age),10
Castiel (Supernatural),10
Peter Parker,10
Obi-Wan Kenobi,10
Non-Inquisitor Female Lavellan,10
Original Dog Character(s),10
Dust Lavellan,10
Fear Demon(s) (Dragon Age),10
Inner Circle,10
Ensemble,10
Darkspawn - Character,10
Original Tranquil Character(s),10
Cyril de Montfort,10
First Enchanter Orsino,10
Slim Couldry,10
Gandalf,10
Original Non-Inquisitor Cadash(s),10
Alistair (mentioned),10
Antivan Crow(s),10
Bann Teagan,10
Warden Blackwall - Character,10
Darcy Lewis,10
Kit Mahariel (Warden),10
The Wayward Bard,10
Kallian Tabris,10
The Mother (Dragon Age),10
Darkspawn (Characters),10
Male Rogue Cadash,10
elain lavellan,10
Varven Lavellan,10
Gorim,10
Knight-Captain Cullen - Character,10
Varric (mentioned),10
Caron (Dragon Age),10
Nathaniel Trevelyan,10
Brenna Larossa,10
Female Warrior Cadash,10
Felix (Dragon Age),10
Female City Elf | Elves,10
Faycen Malik,10
galiana trevelyan,10
Fenor,10
Witherfang,10
Fíli,10
Taarbas,10
Circle Mage,10
Logan Hawke,10
Hadynne Trevelyan - Character,10
Niall,10
Arlessa Isolde Guerrin,10
Ziya Surana,10
Alduin (Elder Scrolls),9
Abigail Henderson,9
Samantha Traynor,9
Jon Snow,9
Levi Dryden,9
Rogue Inquisitor,9
Red Templars - Character,9
Lirene (Dragon Age),9
Original Cat Character(s),9
Genji Shimada,9
Reaper | Gabriel Reyes,9
"Angela ""Mercy"" Ziegler",9
Radonis (Dragon Age),9
Daylen Amell,9
Tevinter Mage(s),9
Pride Demon(s) (Dragon Age),9
Sophia Dryden,9
Karin Chakwas,9
basically everyone,9
The Inquisition,9
City Elf | Elves,9
Mordin Solus,9
Merill,9
Knight Commander Meredith,9
Cullen Rutherford (Mentioned),9
Iron Bull (mentioned),9
Schmooples,9
Jethann (Dragon Age),9
Stiles Stilinski,9
Lucius Corin,9
Original Lavellan-Solas Child(ren) (Dragon Age),9
Female Rogue Adaar,9
Thorold Tethras,9
F!Warden,9
Jack | Subject Zero,9
Merle Mahariel (Warden),9
Tal-Vashoth Character(s) (Dragon Age),9
the Arishok,9
ellanis tabris,9
Grand Enchanter Fiona - Character,9
Ezio Auditore da Firenze,9
Des (OC),9
Leliana (Mentioned),9
Isaura Lavellan,9
Lucia Amell,9
Kassaran,9
Lelianna,9
Herbert Trevelyan,9
Talia Cousland (Warden),9
Fenris' Mother,9
Anora Theirin,9
Geralt z Rivii | Geralt of Rivia,9
F!Trevelyan,9
Sares,9
Neb Trevelyan,9
Kalah Brosca,9
Paxley,9
Ruvena,9
Dahlia Lavellan,9
Amallia,9
Sirius Black,9
thea trevelyan,9
Dwinna Aeducan (Warden),9
Hal'lasean Lavellan,9
Male Desire Demon,9
Alduin,9
Warrior of Light,9
Tomwise,9
Madam Lusine,9
Lily,9
Nesiara,9
Fenera Lavellan,9
Vaeyin Lavellan,9
Maraas,9
Dwalin,9
or,9
Franken!Solas,9
Others (Mentioned),9
Rhys,9
Torania Cousland,9
Mr. Wiggums,9
Saarebas - Character,9
Bren's Elissa,9
Philander Cousland,9
Danica Amell,9
Reshalya (f!Mahariel),9
Modern Girl In Thedas - Character,8
Thornton (Dragon Age),8
Tallis,8
Kasumi Goto,8
Razikale,8
Bianca,8
Maxiana Trevelyan,8
Rylock,8
The Doctor (Doctor Who),8
Handsome Jack (Borderlands),8
Varel (Dragon Age),8
Hannibal Lecter,8
Minor Original Characters - Character,8
Wade Wilson,8
Wanda Maximoff,8
Ashaad (Dragon Age),8
Korra (Avatar),8
Gandalf | Mithrandir,8
The Chargers (Dragon Age),8
Legolas Greenleaf,8
Justinia V (Dragon Age),8
Vael Family,8
Elf Inquisitor (Dragon Age),8
Goran Vael,8
Athenril (Dragon Age),8
Bann Trevelyan (Dragon Age),8
Gamlen,8
David Anderson,8
Lyna Mahariel,8
Prosper de Montfort,8
Corff (Dragon Age),8
Leonas Bryland,8
Mother,8
Uzumaki Naruto,8
Derek Hale,8
Liane Hawke,8
Noctis Lucis Caelum,8
Original Inquisitor,8
Adan,8
Your OC,8
Brennan (Dragon Age),8
Avvar Cullen - Character,8
Ihrá,8
Aeres Surana,8
Jacob Frye,8
Karras,8
Mirevas Lavellan,8
Jack Harkness,8
Rhian Amell,8
Habren Bryland,8
F!Inquisitor,8
Elryn Lavellan,8
Ilya Surana,8
Gray Wardens,8
Isabella (Dragon Age),8
Gisele,8
Rylock (Dragon Age),8
Mage Warden,8
Karl Thekla (mentioned),8
Celene,8
Mycroft Holmes,8
Male Andras,8
Other - Character,8
Cousland Family,8
Morrigan (mentioned),8
Jim,8
Ketkoni Brosca (Warden),8
Wade,8
Adrian (Dragon Age),8
Taliesen,8
Dragon Age: Origins - Awakening Ensemble,8
Anders' Mother,8
Valora,8
Seggrit,8
Lady of the Forest,8
Amell Family,8
Alain,8
Other Party Members,8
Mage Mahariel,8
F!Cousland,8
Alarith,8
Kíli,8
Balin,8
Aeron Cousland,8
Wren Trevelyan,8
OC: Roisin Rutherford,8
Torania Cousland Theirin,8
Rayna Trevelyan,8
Bran,8
Original Trevelyan,8
Aurelie Trevelyan,8
Ben-Hassrath - Character,8
Thranduil,8
Luna Lavellan,8
