date,value
14 Jan 2017,18
13 Jan 2017,20
12 Jan 2017,13
11 Jan 2017,23
10 Jan 2017,33
09 Jan 2017,19
08 Jan 2017,17
07 Jan 2017,23
06 Jan 2017,16
05 Jan 2017,29
04 Jan 2017,20
03 Jan 2017,49
02 Jan 2017,24
01 Jan 2017,17
31 Dec 2016,27
30 Dec 2016,19
29 Dec 2016,21
28 Dec 2016,22
27 Dec 2016,25
26 Dec 2016,23
25 Dec 2016,24
24 Dec 2016,30
23 Dec 2016,14
22 Dec 2016,14
21 Dec 2016,18
20 Dec 2016,13
19 Dec 2016,20
18 Dec 2016,15
17 Dec 2016,19
16 Dec 2016,11
15 Dec 2016,16
14 Dec 2016,17
13 Dec 2016,14
12 Dec 2016,18
11 Dec 2016,12
10 Dec 2016,26
09 Dec 2016,17
08 Dec 2016,14
07 Dec 2016,23
06 Dec 2016,18
05 Dec 2016,17
04 Dec 2016,30
03 Dec 2016,31
02 Dec 2016,19
01 Dec 2016,30
30 Nov 2016,17
29 Nov 2016,17
28 Nov 2016,24
27 Nov 2016,19
26 Nov 2016,21
25 Nov 2016,28
24 Nov 2016,10
23 Nov 2016,16
22 Nov 2016,13
21 Nov 2016,21
20 Nov 2016,24
19 Nov 2016,19
18 Nov 2016,17
17 Nov 2016,26
16 Nov 2016,15
15 Nov 2016,25
14 Nov 2016,14
13 Nov 2016,16
12 Nov 2016,20
11 Nov 2016,15
10 Nov 2016,18
09 Nov 2016,10
08 Nov 2016,25
07 Nov 2016,22
06 Nov 2016,32
05 Nov 2016,17
04 Nov 2016,23
03 Nov 2016,24
02 Nov 2016,25
01 Nov 2016,24
31 Oct 2016,17
30 Oct 2016,16
29 Oct 2016,13
28 Oct 2016,17
27 Oct 2016,9
26 Oct 2016,11
25 Oct 2016,23
24 Oct 2016,17
23 Oct 2016,19
22 Oct 2016,10
21 Oct 2016,8
20 Oct 2016,14
19 Oct 2016,21
18 Oct 2016,14
17 Oct 2016,22
16 Oct 2016,12
15 Oct 2016,11
14 Oct 2016,16
13 Oct 2016,14
12 Oct 2016,17
11 Oct 2016,8
10 Oct 2016,14
09 Oct 2016,16
08 Oct 2016,28
07 Oct 2016,12
06 Oct 2016,13
05 Oct 2016,14
04 Oct 2016,21
03 Oct 2016,24
02 Oct 2016,36
01 Oct 2016,20
30 Sep 2016,19
29 Sep 2016,22
28 Sep 2016,17
27 Sep 2016,22
26 Sep 2016,31
25 Sep 2016,33
24 Sep 2016,23
23 Sep 2016,24
22 Sep 2016,15
21 Sep 2016,24
20 Sep 2016,22
19 Sep 2016,28
18 Sep 2016,23
17 Sep 2016,12
16 Sep 2016,17
15 Sep 2016,23
14 Sep 2016,12
13 Sep 2016,16
12 Sep 2016,18
11 Sep 2016,28
10 Sep 2016,22
09 Sep 2016,22
08 Sep 2016,29
07 Sep 2016,20
06 Sep 2016,21
05 Sep 2016,26
04 Sep 2016,20
03 Sep 2016,15
02 Sep 2016,13
01 Sep 2016,19
31 Aug 2016,23
30 Aug 2016,17
29 Aug 2016,22
28 Aug 2016,39
27 Aug 2016,26
26 Aug 2016,15
25 Aug 2016,31
24 Aug 2016,30
23 Aug 2016,23
22 Aug 2016,22
21 Aug 2016,24
20 Aug 2016,17
19 Aug 2016,18
18 Aug 2016,21
17 Aug 2016,17
16 Aug 2016,20
15 Aug 2016,15
14 Aug 2016,12
13 Aug 2016,15
12 Aug 2016,25
11 Aug 2016,14
10 Aug 2016,12
09 Aug 2016,21
08 Aug 2016,37
07 Aug 2016,23
06 Aug 2016,18
05 Aug 2016,34
04 Aug 2016,29
03 Aug 2016,23
02 Aug 2016,25
01 Aug 2016,33
